Frame Attached,Frame Detached,Average Eccentricity,Average Size,Average Horizontal Location,Average Vertical Location,rolling?,Starting Vertical Position,Starting Horizontal Position,Final Vertical Position,Final Horizontal Position
339,339,0.511587157,107,400.7943925,1260.925234,no,400.7943925,1260.925234,400.7943925,1260.925234
339,340,0.720781868,153.5,455.0887117,182.0077806,yes,454.99375,184.3625,455.1836735,179.6530612
343,911,0.446423124,167.3015873,290.7826228,1278.389346,yes,291.1310345,1289.296552,290.2111801,1285.012422
344,351,0.756475307,165.25,430.4674951,914.5336297,yes,431.0903226,917.3548387,429.9883041,911.6783626
344,519,0.55410604,150.6928105,462.8721635,955.2913765,no,463.0208333,956.4444444,463.2518519,954.0222222
345,348,0.810552727,113.75,903.9300608,577.6454538,no,903.7310924,578.1008403,904.2,577.5
349,495,0.731546606,159.625,504.9670608,335.6676912,yes,504.3354037,348.3354037,505.943299,324.8865979
350,430,0.686334731,204.278481,423.2751838,1068.746197,yes,423.4378378,1072.772973,423.5523256,1071.726744
352,701,0.670154155,160.880597,551.4397693,238.1730524,yes,550.4180791,268.259887,551.4285714,213.5714286
352,352,0.683110687,92,823.6413043,993.3586957,no,823.6413043,993.3586957,823.6413043,993.3586957
352,355,0.816214833,119,904.2327324,577.2409332,no,904.1565217,577.4086957,904.3089431,577.0731707
353,360,0.767846859,93.85714286,382.1060673,1204.536436,yes,383.4727273,1206.509091,380.9152542,1202.338983
354,903,0.510149315,175.6939891,93.60813754,1045.346067,yes,95.18468468,1045.617117,92.80232558,1045.476744
356,357,0.381512812,142.5,490.4472217,727.7158508,no,490.7132353,727.7941176,490.1812081,727.6375839
356,357,0.726775886,143.5,537.8823129,711.237415,no,538.0571429,711.4,537.707483,711.0748299
357,366,0.478146163,171.5555556,949.8204973,550.4956729,no,949.8047337,550.6094675,949.7658228,550.4556962
359,359,0.603959378,102,514.6372549,153.9117647,no,514.6372549,153.9117647,514.6372549,153.9117647
364,364,0.926862361,92,374.4021739,1242.880435,no,374.4021739,1242.880435,374.4021739,1242.880435
364,367,0.903682336,86,934.0213037,870.1807176,yes,932.7391304,871.2695652,937.1458333,869.1041667
365,366,0.809694514,114,904.1402778,577.3282407,no,904.0583333,577.2583333,904.2222222,577.3981481
366,371,0.737546201,168.5,536.3177582,709.0450622,yes,536.2594937,709.9113924,536.6374269,708.4269006
366,372,0.578101464,195.8333333,834.1379927,1316.182751,no,834.5721925,1317.160428,834.1565657,1315.30303
367,371,0.668642886,154,529.2693304,740.6981707,no,528.6459627,741.1180124,529.8503401,740.4829932
367,368,0.757047526,87.5,744.5673787,753.6071334,yes,744.0208333,755.2395833,745.1139241,751.9746835
370,370,0.700730256,129,744.6046512,784.1162791,no,744.6046512,784.1162791,744.6046512,784.1162791
371,371,0.817784888,108,903.9814815,577.287037,no,903.9814815,577.287037,903.9814815,577.287037
371,371,0.850110439,151,928.5496689,604.9006623,no,928.5496689,604.9006623,928.5496689,604.9006623
372,373,0.545476809,135.5,321.6193406,1134.232776,no,321.5511811,1134.590551,321.6875,1133.875
373,374,0.519171773,191,948.7681758,549.2544063,no,949.4775281,549.1460674,948.0588235,549.3627451
374,374,0.771117054,103,682.3106796,178.0194175,no,682.3106796,178.0194175,682.3106796,178.0194175
375,406,0.776806152,193.34375,401.6465698,104.2748995,yes,401.8882979,109.8882979,400.8571429,91.20918367
375,391,0.697828776,158.6470588,634.2187637,317.684101,no,633.8970588,320.9411765,634.6516854,316.0674157
377,377,0.714784037,128,32.625,1018.179688,no,32.625,1018.179688,32.625,1018.179688
378,378,0.899958888,92,156.423913,140.9782609,no,156.423913,140.9782609,156.423913,140.9782609
378,909,0.586110742,114.1567329,513.7849356,483.1531249,yes,512.9583333,484.1041667,514.6173913,458.5565217
379,412,0.719362499,137.030303,747.2244436,738.9982331,yes,748.8531469,761.6503497,752.622449,684.5102041
379,391,0.805561955,118.1818182,904.1328837,576.3009164,no,904.1315789,577.0438596,903.7345133,575.2035398
379,379,0.55290399,232,932.8060345,846.8189655,no,932.8060345,846.8189655,932.8060345,846.8189655
379,392,0.526278248,170.5,949.2714705,549.7644637,no,948.7487179,549.5948718,950.1184211,549.5986842
389,440,0.621712582,151.9803922,480.4962532,155.8759141,yes,477.8098592,186.8028169,482.5328947,125.6710526
394,394,0.450087398,129,951.8527132,188.9767442,no,951.8527132,188.9767442,951.8527132,188.9767442
395,603,0.899350408,208.3769634,438.5230749,639.7507022,yes,442.6466667,665.8066667,436.4397906,618.3036649
396,694,0.745257002,149.2312925,246.9415128,910.3135884,yes,243.7454545,924.3515152,247.0185185,895.3765432
397,428,0.83582907,105.037037,903.4189871,570.7456369,yes,903.6548673,573.6902655,903.1509434,568.754717
397,425,0.543961029,150.3846154,949.9914059,550.1115616,yes,950.5859873,549.7452229,950.28,550.16
398,398,0.398576223,102,378.2156863,1194.666667,no,378.2156863,1194.666667,378.2156863,1194.666667
401,401,0.819724516,90,117.3444444,417.2666667,no,117.3444444,417.2666667,117.3444444,417.2666667
402,434,0.641160808,198.7878788,683.2786529,114.4002207,yes,683.011236,120.2247191,683.3641026,108.2102564
404,746,0.663461707,143.7672131,742.7134437,962.8143436,yes,742.1851852,994.4814815,743.2847682,933.1589404
405,437,0.824837836,187.1904762,749.4307958,768.0445325,yes,751.0606061,780.5707071,750.6736842,756.8105263
405,422,0.529261789,145.7777778,786.6647288,63.27145019,yes,786.6090226,68.92481203,786.1972789,58.14285714
406,406,0.788816708,110,367.8181818,1216.590909,no,367.8181818,1216.590909,367.8181818,1216.590909
406,408,0.857215691,81,595.0279503,1334.74705,yes,593.4130435,1338.836957,596.6428571,1330.657143
407,408,0.560386087,152,777.1878436,489.4283128,yes,778.4636872,492.0726257,775.912,486.784
408,408,0.737451103,148,191.1081081,547.6689189,no,191.1081081,547.6689189,191.1081081,547.6689189
408,426,0.567242636,195.3684211,608.0984541,526.3540756,no,608.1507538,528.361809,608.1363636,523.9715909
409,411,0.698664009,91.66666667,373.8346015,1213.51805,yes,373.1,1214.29,373.7622951,1213
